"SESSION_ID","MC","SDC","NC","MI","SDI","NI","study_name","SDPooled","StroopEffect"
667736,665.761904761905,246.918995778353,21,784.047619047619,194.983170303259,42,"cebersole.osu",213.40854816739,0.55426886739764
668587,630.761904761905,277.409968235084,21,881.057142857143,381.391863193362,42,"cebersole.ithaca",350.712990294458,0.713675412721641
673719,589.547619047619,274.930244399765,21,556.113553113553,265.749679519554,42,"cebersole.ithaca",268.794252611909,-0.124385345330798
674887,536.952380952381,75.9239594531767,21,635.700348432056,203.635166511576,42,"cebersole.ithaca",172.515025481462,0.57240212673699
674964,574.52380952381,95.7463414693319,21,638.846428571429,156.718347698112,42,"cebersole.ithaca",139.691316533671,0.460462544442516
675118,511.047619047619,72.8021127375272,21,633.309523809524,304.488334359041,42,"cebersole.ithaca",253.087230752607,0.483082075687239
675119,595.285714285714,156.561215777453,21,911.602787456446,1319.69362158999,42,"cebersole.ithaca",1085.6400222698,0.291364602153662
675120,568.285714285714,174.582972496502,21,621.221428571429,230.321164194605,42,"cebersole.ithaca",213.654603731233,0.247763040726727
675163,585.380952380952,190.191081859922,21,749.652014652015,350.731065821771,42,"cebersole.ithaca",307.474014741389,0.534259984243637
675165,572.921428571429,171.046732336099,21,585.590733590734,242.159960877572,42,"cebersole.ithaca",221.375691558693,0.0572298834171957
675171,576.021428571429,218.742324763309,21,569.146428571429,180.798234175105,42,"cebersole.ithaca",194.058135347667,-0.0354275278780918
675174,652.371428571429,345.681959527623,21,605,160.110023147194,42,"cebersole.ithaca",237.506318910147,-0.199453339973452
675175,513.821428571429,147.087540746513,21,550.94425087108,177.263465960725,42,"cebersole.ithaca",167.968121672913,0.221011117644939
675181,466.666666666667,97.0929108294387,21,583.321428571429,259.242883841196,42,"cebersole.ithaca",219.687649069733,0.531002823320912
675187,591,265.604405083952,21,589.651567944251,175.183811732879,42,"cebersole.ithaca",209.181781626228,-0.00644622129740959
675189,577.52380952381,118.089211635788,21,637.261904761905,182.693807486309,42,"cebersole.ithaca",164.334692322414,0.363514814759217
675194,513.190476190476,87.3599559567306,21,623.216117216117,269.505243046701,42,"cebersole.ithaca",226.54176162289,0.485674871765117
675197,697.621428571429,340.495087545852,21,924.685714285714,395.898593287786,42,"cebersole.ithaca",378.62784262179,0.599703086128031
675204,579.871428571429,265.798922388442,21,603.04181184669,266.338137016407,42,"cebersole.ithaca",266.161465700721,0.0870538611374898
675205,458.190476190476,91.2499967384213,21,575.921428571429,338.447005100243,42,"cebersole.ithaca",282.347670342252,0.416971573515173
675206,579.809523809524,248.013027691615,21,567.357142857143,125.756602198515,42,"cebersole.ithaca",175.490548106242,-0.0709575591777302
675210,470.666666666667,151.448781221023,21,526.071428571429,191.743367978564,42,"cebersole.ithaca",179.531309310211,0.30860779725629
675215,699.190476190476,259.974156224733,21,685.846428571429,196.477781324014,42,"cebersole.ithaca",219.331155375129,-0.0608397270156393
675216,733.511278195489,279.117626860183,21,750.1393728223,342.8193612862,42,"cebersole.ithaca",323.319430078945,0.051429308231648
675217,550.809523809524,119.52055013579,21,640.432055749129,275.35324068477,42,"cebersole.ithaca",235.890323621549,0.379933057717921
675218,529.821428571429,162.781892859302,21,535.285714285714,193.121254178123,42,"cebersole.ithaca",183.726786836882,0.0297413665604304
675220,502.190476190476,211.357663463528,21,520.857142857143,118.223139872843,42,"cebersole.ithaca",155.050831482716,0.120390626017039
675223,555.871428571429,152.10314639368,21,640.773519163763,157.644615398595,42,"cebersole.ithaca",155.849452272301,0.544769900403583
675224,542,115.933601686483,21,625.714285714286,279.73605030407,42,"cebersole.ithaca",238.752034458024,0.350632763839354
675225,532.190476190476,97.9696989112547,21,768.871428571429,342.447741632397,42,"cebersole.ithaca",286.300596467875,0.826686899367007
675234,627.285714285714,310.127093762726,21,553.47619047619,154.944874240571,42,"cebersole.ithaca",218.335760455132,-0.338055129657479
675236,460.904761904762,89.0841763513054,21,655.146428571429,447.116835844358,42,"cebersole.ithaca",370.094623926964,0.524843253883632
675237,538.621428571429,178.938270481351,21,565.357142857143,203.758084852742,42,"cebersole.ithaca",195.967115663689,0.136429595318416
675241,475.619047619048,62.41191888612,21,528.214285714286,157.381707139554,42,"cebersole.ithaca",133.884830848396,0.392839411021806
675243,659.666666666667,243.473475625854,21,724.919860627178,249.769263454156,42,"cebersole.ithaca",247.722701604043,0.263412249010633
675247,589.971428571429,270.235262582175,21,633.164835164835,259.077229777167,42,"cebersole.ithaca",262.787809227895,0.164366097195736
675248,560.380952380952,189.018114526221,21,545.212543554007,123.098151589655,42,"cebersole.ithaca",147.982957830126,-0.102501051805963
675249,560.47619047619,91.2883448462174,21,567.700348432056,129.525449297838,42,"cebersole.ithaca",118.35773508651,0.0610366356756065
675258,513.471428571429,205.137629758309,21,688.114982578397,580.486263283755,42,"cebersole.ithaca",490.185065740294,0.356280854340628
675260,781.714285714286,306.432071242085,21,1083.22180451128,765.390445650486,42,"cebersole.ithaca",651.564777194723,0.462743735312269
675261,540.333333333333,92.4955854802451,21,615.547619047619,241.465667143027,42,"cebersole.ithaca",204.924659143448,0.36703384565171
675262,530.285714285714,147.471062536737,21,522.880952380952,104.835574482709,42,"cebersole.ithaca",120.488397541973,-0.0614562236349969
675266,740.428571428571,289.535243351923,21,642.651567944251,138.431112006332,42,"cebersole.ithaca",200.911987356704,-0.486665851902231
675388,549.47619047619,89.5173832546612,21,594.47619047619,159.241837573905,42,"cebersole.ithaca",140.254085255701,0.320846269240282
675392,542.095238095238,106.591699846613,21,576.1393728223,180.993578472518,42,"cebersole.ithaca",160.447197938414,0.212182793869227
675414,552.952380952381,69.93602518765,21,570.714285714286,142.379651484313,42,"cebersole.ithaca",123.406002179499,0.143930639095408
675425,703.619047619048,419.069740758084,21,728.471428571429,228.454397739877,42,"cebersole.ithaca",304.400427556604,0.0816437123688323
675451,581.321428571429,192.322761634855,21,718.29304029304,266.407478681772,42,"cebersole.ithaca",244.60244176153,0.559976469307486
675456,486.571428571429,144.745490924095,21,485.261324041812,138.38278010722,42,"cebersole.ithaca",140.500667397952,-0.00932454310630405
675464,507.666666666667,73.3405299499079,21,558.602787456446,170.391904757135,42,"cebersole.ithaca",145.869137183603,0.349190526339145
675469,577.904761904762,152.114399305886,21,736.880952380952,275.206599619027,42,"cebersole.ithaca",241.852867512067,0.657326051626237
675482,846.761904761905,300.22856372469,21,815.404761904762,195.297404166907,42,"cebersole.ithaca",234.923354385206,-0.133478184573026
675515,531.142857142857,106.613922971761,21,574.480836236934,278.002413152053,42,"cebersole.ithaca",235.950452630247,0.183674066359986
675528,677.380952380952,436.348309976156,21,742.714285714286,332.996322085767,42,"cebersole.ithaca",370.076321853854,0.176540160705374
675554,690.971428571429,261.182497772835,21,836.47619047619,402.251907366833,42,"cebersole.ithaca",362.106687001597,0.401828431033974
675556,562.563909774436,270.315482631639,21,503.571428571429,133.724533542204,42,"cebersole.ithaca",189.67536929383,-0.311018143381711
675569,719.571428571429,315.91162869204,21,683.642857142857,229.089057283947,42,"cebersole.ithaca",260.760451143501,-0.137783821400122
675570,458.071428571429,156.617710182652,21,504.066202090592,206.581797171024,42,"cebersole.ithaca",191.640875661212,0.240005026904984
675585,634.428571428571,120.120594166268,21,704.642857142857,230.944172477666,42,"cebersole.ithaca",201.442453472176,0.348557538413738
675602,493.353383458647,195.116084591111,21,504.627177700348,275.166459196698,42,"cebersole.ithaca",251.741004047976,0.0447833053035463
675603,497.428571428571,84.5857975245085,21,574.619047619048,308.75516801291,42,"cebersole.ithaca",257.720621630142,0.299512222585172
675610,489.952380952381,101.639793481921,21,489.1393728223,161.471412057064,42,"cebersole.ithaca",144.608382733276,-0.00562213693780714
675614,561.428571428571,72.3232821631952,21,597.666666666667,112.534150191618,42,"cebersole.ithaca",101.127615870479,0.358340250842142
675616,557.047619047619,347.04876835835,21,557.456445993031,196.803007630363,42,"cebersole.ithaca",255.972761380286,0.00159715019366829
675618,569.774436090226,245.09273678357,21,580.642857142857,195.506199942682,42,"cebersole.ithaca",213.039619009802,0.0510159617405788
675673,554.190476190476,163.343692577222,21,505.619047619048,122.40655019556,42,"cebersole.ithaca",137.18129340385,-0.354067434168582
675678,473.571428571429,55.4459840101801,21,507.166666666667,115.349292800578,42,"cebersole.ithaca",99.7545328433485,0.336779062942384
675689,528.619047619048,127.138301148976,21,534.928571428571,178.964009579409,42,"cebersole.ithaca",163.788935458444,0.0385222835221655
675713,546.380952380952,45.2719297031573,21,621.333333333333,269.791940311253,42,"cebersole.ithaca",222.699028158762,0.336563574489186
675724,510.761904761905,154.249766535287,21,529.095238095238,111.071897067776,42,"cebersole.ithaca",126.858345459203,0.144518149491626
