"type","analysis","measure","digit","prop"
"Fabricated","benford","SD incongruent","9",0.06
"Fabricated","terminal","Mean congruent","0",0.1
"Fabricated","terminal","Mean congruent","1",0.102857142857143
"Fabricated","terminal","Mean congruent","2",0.114285714285714
"Fabricated","terminal","Mean congruent","3",0.107142857142857
"Fabricated","terminal","Mean congruent","4",0.1
"Fabricated","terminal","Mean congruent","5",0.09
"Fabricated","terminal","Mean congruent","6",0.104285714285714
"Fabricated","terminal","Mean congruent","7",0.0842857142857143
"Fabricated","terminal","Mean congruent","8",0.101428571428571
"Fabricated","terminal","Mean congruent","9",0.0957142857142857
"Fabricated","terminal","Mean incongruent","0",0.0914285714285714
"Fabricated","terminal","Mean incongruent","1",0.101428571428571
"Fabricated","terminal","Mean incongruent","2",0.112857142857143
"Fabricated","terminal","Mean incongruent","3",0.0885714285714286
"Fabricated","terminal","Mean incongruent","4",0.112857142857143
"Fabricated","terminal","Mean incongruent","5",0.0928571428571429
"Fabricated","terminal","Mean incongruent","6",0.0957142857142857
"Fabricated","terminal","Mean incongruent","7",0.0871428571428571
"Fabricated","terminal","Mean incongruent","8",0.111428571428571
"Fabricated","terminal","Mean incongruent","9",0.105714285714286
"Fabricated","terminal","SD congruent","0",0.0957142857142857
"Fabricated","terminal","SD congruent","1",0.115714285714286
"Fabricated","terminal","SD congruent","2",0.112857142857143
"Fabricated","terminal","SD congruent","3",0.0971428571428571
"Fabricated","terminal","SD congruent","4",0.0928571428571429
"Fabricated","terminal","SD congruent","5",0.107142857142857
"Fabricated","terminal","SD congruent","6",0.107142857142857
"Fabricated","terminal","SD congruent","7",0.0757142857142857
"Fabricated","terminal","SD congruent","8",0.102857142857143
"Fabricated","terminal","SD congruent","9",0.0928571428571429
"Fabricated","terminal","SD incongruent","0",0.08
"Fabricated","terminal","SD incongruent","1",0.104285714285714
"Fabricated","terminal","SD incongruent","2",0.105714285714286
"Fabricated","terminal","SD incongruent","3",0.0942857142857143
"Fabricated","terminal","SD incongruent","4",0.105714285714286
"Fabricated","terminal","SD incongruent","5",0.07
"Fabricated","terminal","SD incongruent","6",0.111428571428571
"Fabricated","terminal","SD incongruent","7",0.125714285714286
"Fabricated","terminal","SD incongruent","8",0.104285714285714
"Fabricated","terminal","SD incongruent","9",0.0985714285714286
"Fabricated w RNG","benford","Mean congruent","1",0.00631578947368421
"Fabricated w RNG","benford","Mean congruent","2",0
"Fabricated w RNG","benford","Mean congruent","3",0.0105263157894737
"Fabricated w RNG","benford","Mean congruent","4",0.115789473684211
"Fabricated w RNG","benford","Mean congruent","5",0.267368421052632
"Fabricated w RNG","benford","Mean congruent","6",0.345263157894737
"Fabricated w RNG","benford","Mean congruent","7",0.157894736842105
"Fabricated w RNG","benford","Mean congruent","8",0.0736842105263158
"Fabricated w RNG","benford","Mean congruent","9",0.0231578947368421
"Fabricated w RNG","benford","Mean incongruent","1",0.103157894736842
"Fabricated w RNG","benford","Mean incongruent","2",0.00421052631578947
"Fabricated w RNG","benford","Mean incongruent","3",0
"Fabricated w RNG","benford","Mean incongruent","4",0.0189473684210526
"Fabricated w RNG","benford","Mean incongruent","5",0.147368421052632
"Fabricated w RNG","benford","Mean incongruent","6",0.250526315789474
"Fabricated w RNG","benford","Mean incongruent","7",0.252631578947368
"Fabricated w RNG","benford","Mean incongruent","8",0.164210526315789
"Fabricated w RNG","benford","Mean incongruent","9",0.0589473684210526
"Fabricated w RNG","benford","SD congruent","1",0.425263157894737
"Fabricated w RNG","benford","SD congruent","2",0.187368421052632
"Fabricated w RNG","benford","SD congruent","3",0.0631578947368421
"Fabricated w RNG","benford","SD congruent","4",0.0442105263157895
"Fabricated w RNG","benford","SD congruent","5",0.0442105263157895
"Fabricated w RNG","benford","SD congruent","6",0.071578947368421
"Fabricated w RNG","benford","SD congruent","7",0.071578947368421
"Fabricated w RNG","benford","SD congruent","8",0.0442105263157895
"Fabricated w RNG","benford","SD congruent","9",0.0484210526315789
"Fabricated w RNG","benford","SD incongruent","1",0.402105263157895
"Fabricated w RNG","benford","SD incongruent","2",0.212631578947368
"Fabricated w RNG","benford","SD incongruent","3",0.124210526315789
"Fabricated w RNG","benford","SD incongruent","4",0.0378947368421053
"Fabricated w RNG","benford","SD incongruent","5",0.0505263157894737
"Fabricated w RNG","benford","SD incongruent","6",0.0378947368421053
"Fabricated w RNG","benford","SD incongruent","7",0.0568421052631579
"Fabricated w RNG","benford","SD incongruent","8",0.0315789473684211
"Fabricated w RNG","benford","SD incongruent","9",0.0463157894736842
"Fabricated w RNG","terminal","Mean congruent","0",0.113684210526316
"Fabricated w RNG","terminal","Mean congruent","1",0.0947368421052632
"Fabricated w RNG","terminal","Mean congruent","2",0.107368421052632
"Fabricated w RNG","terminal","Mean congruent","3",0.115789473684211
"Fabricated w RNG","terminal","Mean congruent","4",0.103157894736842
"Fabricated w RNG","terminal","Mean congruent","5",0.0884210526315789
"Fabricated w RNG","terminal","Mean congruent","6",0.103157894736842
"Fabricated w RNG","terminal","Mean congruent","7",0.0821052631578947
"Fabricated w RNG","terminal","Mean congruent","8",0.0989473684210526
"Fabricated w RNG","terminal","Mean congruent","9",0.0926315789473684
"Fabricated w RNG","terminal","Mean incongruent","0",0.0757894736842105
"Fabricated w RNG","terminal","Mean incongruent","1",0.101052631578947
"Fabricated w RNG","terminal","Mean incongruent","2",0.111578947368421
"Fabricated w RNG","terminal","Mean incongruent","3",0.0863157894736842
"Fabricated w RNG","terminal","Mean incongruent","4",0.111578947368421
"Fabricated w RNG","terminal","Mean incongruent","5",0.0821052631578947
"Fabricated w RNG","terminal","Mean incongruent","6",0.105263157894737
"Fabricated w RNG","terminal","Mean incongruent","7",0.0947368421052632
"Fabricated w RNG","terminal","Mean incongruent","8",0.111578947368421
"Fabricated w RNG","terminal","Mean incongruent","9",0.12
"Fabricated w RNG","terminal","SD congruent","0",0.107368421052632
"Fabricated w RNG","terminal","SD congruent","1",0.111578947368421
"Fabricated w RNG","terminal","SD congruent","2",0.113684210526316
"Fabricated w RNG","terminal","SD congruent","3",0.0863157894736842
"Fabricated w RNG","terminal","SD congruent","4",0.103157894736842
"Fabricated w RNG","terminal","SD congruent","5",0.0968421052631579
"Fabricated w RNG","terminal","SD congruent","6",0.103157894736842
"Fabricated w RNG","terminal","SD congruent","7",0.0757894736842105
"Fabricated w RNG","terminal","SD congruent","8",0.0989473684210526
"Fabricated w RNG","terminal","SD congruent","9",0.103157894736842
"Fabricated w RNG","terminal","SD incongruent","0",0.0694736842105263
"Fabricated w RNG","terminal","SD incongruent","1",0.0989473684210526
"Fabricated w RNG","terminal","SD incongruent","2",0.111578947368421
"Fabricated w RNG","terminal","SD incongruent","3",0.0884210526315789
"Fabricated w RNG","terminal","SD incongruent","4",0.105263157894737
"Fabricated w RNG","terminal","SD incongruent","5",0.0778947368421053
"Fabricated w RNG","terminal","SD incongruent","6",0.113684210526316
"Fabricated w RNG","terminal","SD incongruent","7",0.124210526315789
"Fabricated w RNG","terminal","SD incongruent","8",0.107368421052632
"Fabricated w RNG","terminal","SD incongruent","9",0.103157894736842
"Fabricated w/o RNG","benford","Mean congruent","1",0.24
"Fabricated w/o RNG","benford","Mean congruent","2",0.0133333333333333
"Fabricated w/o RNG","benford","Mean congruent","3",0.00444444444444444
"Fabricated w/o RNG","benford","Mean congruent","4",0.0933333333333333
"Fabricated w/o RNG","benford","Mean congruent","5",0.115555555555556
"Fabricated w/o RNG","benford","Mean congruent","6",0.302222222222222
"Fabricated w/o RNG","benford","Mean congruent","7",0.106666666666667
"Fabricated w/o RNG","benford","Mean congruent","8",0.0977777777777778
"Fabricated w/o RNG","benford","Mean congruent","9",0.0266666666666667
"Fabricated w/o RNG","benford","Mean incongruent","1",0.266666666666667
"Fabricated w/o RNG","benford","Mean incongruent","2",0.04
"Fabricated w/o RNG","benford","Mean incongruent","3",0.0755555555555556
"Fabricated w/o RNG","benford","Mean incongruent","4",0.0177777777777778
"Fabricated w/o RNG","benford","Mean incongruent","5",0.08
"Fabricated w/o RNG","benford","Mean incongruent","6",0.12
"Fabricated w/o RNG","benford","Mean incongruent","7",0.235555555555556
"Fabricated w/o RNG","benford","Mean incongruent","8",0.0844444444444444
"Fabricated w/o RNG","benford","Mean incongruent","9",0.08
"Fabricated w/o RNG","benford","SD congruent","1",0.297777777777778
"Fabricated w/o RNG","benford","SD congruent","2",0.222222222222222
"Fabricated w/o RNG","benford","SD congruent","3",0.177777777777778
"Fabricated w/o RNG","benford","SD congruent","4",0.0888888888888889
"Fabricated w/o RNG","benford","SD congruent","5",0.0844444444444444
"Fabricated w/o RNG","benford","SD congruent","6",0.0533333333333333
"Fabricated w/o RNG","benford","SD congruent","7",0.0177777777777778
"Fabricated w/o RNG","benford","SD congruent","8",0.0266666666666667
"Fabricated w/o RNG","benford","SD congruent","9",0.0311111111111111
"Fabricated w/o RNG","benford","SD incongruent","1",0.231111111111111
"Fabricated w/o RNG","benford","SD incongruent","2",0.231111111111111
"Fabricated w/o RNG","benford","SD incongruent","3",0.142222222222222
"Fabricated w/o RNG","benford","SD incongruent","4",0.0533333333333333
"Fabricated w/o RNG","benford","SD incongruent","5",0.0533333333333333
"Fabricated w/o RNG","benford","SD incongruent","6",0.0577777777777778
"Fabricated w/o RNG","benford","SD incongruent","7",0.0711111111111111
"Fabricated w/o RNG","benford","SD incongruent","8",0.0711111111111111
"Fabricated w/o RNG","benford","SD incongruent","9",0.0888888888888889
"Fabricated w/o RNG","terminal","Mean congruent","0",0.0711111111111111
"Fabricated w/o RNG","terminal","Mean congruent","1",0.12
"Fabricated w/o RNG","terminal","Mean congruent","2",0.128888888888889
"Fabricated w/o RNG","terminal","Mean congruent","3",0.0888888888888889
"Fabricated w/o RNG","terminal","Mean congruent","4",0.0933333333333333
"Fabricated w/o RNG","terminal","Mean congruent","5",0.0933333333333333
"Fabricated w/o RNG","terminal","Mean congruent","6",0.106666666666667
"Fabricated w/o RNG","terminal","Mean congruent","7",0.0888888888888889
"Fabricated w/o RNG","terminal","Mean congruent","8",0.106666666666667
"Fabricated w/o RNG","terminal","Mean congruent","9",0.102222222222222
"Fabricated w/o RNG","terminal","Mean incongruent","0",0.124444444444444
"Fabricated w/o RNG","terminal","Mean incongruent","1",0.102222222222222
"Fabricated w/o RNG","terminal","Mean incongruent","2",0.115555555555556
"Fabricated w/o RNG","terminal","Mean incongruent","3",0.0933333333333333
