"id","type","result","n","rng"
"82z.txt","Fabricated",0.764752092634916,25,1
"3pl.txt","Fabricated",0.49745291839295,25,0
"jmq.txt","Fabricated",0.390503950129685,25,1
"hsu.txt","Fabricated",0.363323818175293,25,1
"h5w.txt","Fabricated",0.0736483312662799,25,1
"2a9.txt","Fabricated",0.0536487409243254,25,1
"ulr.txt","Fabricated",0.02920777558264,25,1
"tyo.txt","Fabricated",0.0254671006409713,25,1
"g2f.txt","Fabricated",0.0239555848635804,25,1
"t5g.txt","Fabricated",0.0145021329419916,25,0
"19e.txt","Fabricated",0.00794166417821948,25,1
"yty.txt","Fabricated",0.00378388240179038,25,1
"ez8.txt","Fabricated",0.00142403298568786,25,1
"nbu.txt","Fabricated",0.00140322780808598,25,0
"cebersole.carleton","Genuine",0.000794071245597559,51,NA
"8nb.txt","Fabricated",2.40583485731563e-05,25,0
"o2f.txt","Fabricated",2.31148797069565e-05,25,1
"cebersole.toronto","Genuine",1.88061599183231e-05,82,NA
"1zm.txt","Fabricated",4.6174676204496e-06,25,0
"sel.txt","Fabricated",1.5458915682067e-06,25,1
"cebersole.bradley","Genuine",1.1703950202772e-06,119,NA
"h65.txt","Fabricated",7.0739974042943e-07,25,1
"cebersole.mississippi","Genuine",1.24278647074264e-07,93,NA
"tjv.txt","Fabricated",1.18554025650594e-07,25,1
"pkl.txt","Fabricated",6.18448021795894e-08,25,1
"1se.txt","Fabricated",4.74521236888233e-08,25,1
"cebersole.psuabington","Genuine",4.72563504548549e-08,117,NA
"3wn.txt","Fabricated",3.67593683503484e-08,25,0
"cebersole.ashland","Genuine",2.71001194552714e-08,84,NA
"cebersole.vcu","Genuine",8.62252905466078e-09,97,NA
"z26.txt","Fabricated",1.20322429175187e-09,25,0
"cebersole.nova","Genuine",2.94634639739584e-11,132,NA
"cebersole.montana","Genuine",2.45879427562941e-11,129,NA
"cebersole.plu","Genuine",1.68085622607715e-11,101,NA
"2f5.txt","Fabricated",1.35396338129287e-11,25,0
"cebersole.sdsu","Genuine",8.18613108053434e-12,145,NA
"cebersole.miami","Genuine",6.32420523422898e-12,101,NA
"cebersole.florida","Genuine",4.00898603558777e-12,138,NA
"0jg.txt","Fabricated",3.51295645397607e-13,25,1
"cebersole.davis","Genuine",2.03783367054365e-15,120,NA
"cebersole.michst","Genuine",1.98591523975947e-15,127,NA
"ojh.txt","Fabricated",5.27776352974088e-16,25,1
"cebersole.osu","Genuine",1.02365173433675e-16,163,NA
"cebersole.virginia","Genuine",1.71670119769856e-19,196,NA
"cebersole.texasam","Genuine",5.78378145558497e-22,181,NA
"cebersole.riverside","Genuine",2.04624801122789e-26,252,NA
"cebersole.ithaca","Genuine",1.72658359952011e-32,288,NA
"cebersole.mturk","Genuine",2.41938389163914e-36,621,NA
"jgg.txt","Fabricated",5.02803960312359e-37,25,0
