"referrer","partgender","anchoring","anch_n","anch_m","anch_sd","study"
"tilburg ",0,1,4,3375000,478713.553878169,2
"tilburg ",1,1,18,2474916.66666667,1294868.99462274,2
"ufl     ",0,0,15,956473.4,604931.571441384,2
"ufl     ",1,0,51,532785.941176471,465006.13322929,2
"ufl     ",0,1,13,2419230.76923077,1004891.88090445,2
"ufl     ",1,1,39,3049194.74358974,1203567.30109364,2
"unipd   ",0,0,16,1286875,982627.218226729,2
"unipd   ",1,0,24,1109375,1272553.33235808,2
"unipd   ",0,1,18,2725000,1010860.14625868,2
"unipd   ",1,1,19,2674473.68421053,1357255.08813524,2
"uva     ",0,0,7,566714.285714286,328707.93230755,2
"uva     ",1,0,26,814230.769230769,758114.361172102,2
"uva     ",0,1,14,3185714.28571429,1055284.97270944,2
"uva     ",1,1,28,2781762.25,1274250.74189512,2
"vcu     ",0,0,11,718181.818181818,484392.778266113,2
"vcu     ",1,0,39,613246.153846154,651819.372621197,2
"vcu     ",0,1,12,3477894,1323965.92688757,2
"vcu     ",1,1,37,2689795.10810811,1474020.22468429,2
"wisc    ",0,0,8,1232581.25,825895.022703725,2
"wisc    ",1,0,42,899208.666666667,842685.669646659,2
"wisc    ",0,1,6,3133333.33333333,1321615.17343993,2
"wisc    ",1,1,32,2975045.59375,1148732.18185008,2
"wku     ",0,0,13,683915,533786.559801762,2
"wku     ",1,0,35,533285.714285714,414395.276732435,2
"wku     ",0,1,10,3200076.5,1058429.05219127,2
"wku     ",1,1,28,2882182.71428571,1367474.57312077,2
"wl      ",0,0,3,1066666.66666667,404145.188432738,2
"wl      ",1,0,28,1292857.14285714,1122721.08980933,2
"wl      ",0,1,8,2593750,1281304.44135208,2
"wl      ",1,1,34,2792902.94117647,963007.441516071,2
"wpi     ",0,0,24,1266264.20833333,1180493.11415291,2
"wpi     ",1,0,18,767160.555555556,610147.290226107,2
"wpi     ",0,1,16,2656797,1375811.56554135,2
"wpi     ",1,1,19,3103029.94736842,1321059.67689917,2
"abington",0,0,5,4299,1893.21287762364,3
"abington",1,0,30,9028.06666666667,10066.3969855785,3
"abington",0,1,14,30685.7142857143,13270.549066541,3
"abington",1,1,24,36530.5,7434.46234423352,3
"brasilia",0,0,21,11825.0968,11586.6366747523,3
"brasilia",1,0,23,6439.63982608696,5961.35654151063,3
"brasilia",0,1,17,34007.8078588235,7709.64857488964,3
"brasilia",1,1,15,33542.8992,11148.4102571063,3
"charles ",0,0,13,25587.4639384615,4954.95301313643,3
"charles ",1,0,30,23164.19776,7928.600419235,3
"charles ",0,1,10,29259.48672,2661.65893907301,3
"charles ",1,1,30,28896.1928,5621.6820757308,3
"conncoll",0,0,18,13646.3333333333,12916.1673836457,3
"conncoll",1,0,19,14140.7368421053,12720.2593127049,3
"conncoll",0,1,11,33512.2727272727,7326.21708784157,3
"conncoll",1,1,36,36634.5833333333,7521.5603790513,3
"csun    ",0,0,6,10224.6666666667,8846.17717811862,3
"csun    ",1,0,23,12930.1304347826,12785.0070370242,3
"csun    ",0,1,10,31650,8831.91812562695,3
"csun    ",1,1,48,34054.3125,9530.05145027805,3
"help    ",0,0,10,9276.13392,8530.92458192138,3
"help    ",1,0,26,10127.9557846154,10935.9335278457,3
"help    ",0,1,7,35192.2042285714,10660.9488245742,3
"help    ",1,1,22,37155.9547636364,8934.76538039849,3
"ithaca  ",0,0,8,7975,7712.09625014033,3
"ithaca  ",1,0,32,6477.375,7182.60714975711,3
"ithaca  ",0,1,9,31953.3333333333,10490.2144877977,3
"ithaca  ",1,1,34,37610.9117647059,6089.77228199249,3
"jmu     ",0,0,15,10682.5133333333,11102.1640179398,3
"jmu     ",1,0,76,9179.93421052631,8150.19027235647,3
"jmu     ",0,1,13,33160.5384615385,8851.42891115501,3
"jmu     ",1,1,57,34805.5614035088,10373.9148331241,3
"ku      ",0,0,17,14224.0048941176,10280.6610547345,3
"ku      ",1,0,19,15174.5633684211,9795.94218058353,3
"ku      ",0,1,18,30874.3329333333,10237.6796885687,3
"ku      ",1,1,21,30518.1578285714,6852.26119860703,3
"laurier ",0,0,25,7038.103392,6879.60443552245,3
"laurier ",1,0,23,5675.784,7044.31524404079,3
"laurier ",0,1,18,28874.1385333333,12483.5337720335,3
"laurier ",1,1,19,38979.3574736842,4434.66456917333,3
"lse     ",0,0,44,9980.97727272727,8365.32763224611,3
"lse     ",1,0,83,5985.25301204819,6095.94120635212,3
"lse     ",0,1,43,33617.1860465116,8385.16865905231,3
"lse     ",1,1,90,33344.7222222222,11173.0228465136,3
"luc     ",0,0,11,5148.18181818182,2733.22819457805,3
"luc     ",1,0,58,9478.06896551724,9267.66248819843,3
"luc     ",0,1,7,24571.4285714286,10937.0493104424,3
"luc     ",1,1,60,36263.3333333333,10397.6197841208,3
"mcdaniel",0,0,7,12928.5714285714,15809.8823826232,3
"mcdaniel",1,0,33,12546.5454545455,10322.008322908,3
"mcdaniel",0,1,13,34795.3846153846,11023.2314268432,3
"mcdaniel",1,1,35,36090.2857142857,7794.10002943942,3
"msvu    ",0,0,8,5159.058,3236.05170617847,3
"msvu    ",1,0,23,4536.06260869565,1894.13332858261,3
"msvu    ",0,1,3,37182.4,6829.52981104849,3
"msvu    ",1,1,15,35388.896,9698.29171833355,3
"mturk   ",0,0,226,13326.2168141593,10641.3057102711,3
"mturk   ",1,0,263,10444.3155893536,9202.23839074077,3
"mturk   ",0,1,228,34042.5394736842,8258.30941746302,3
"mturk   ",1,1,224,35187.4732142857,9877.25453217895,3
"osu     ",0,0,15,11293.8666666667,10688.1558937697,3
"osu     ",1,0,31,8066.32258064516,9025.55156352267,3
"osu     ",0,1,16,35703.125,9890.74430549424,3
"osu     ",1,1,31,35249.1935483871,10742.4789268876,3
"oxy     ",0,0,13,12269.2307692308,9464.47961374392,3
"oxy     ",1,0,31,12362.4193548387,10970.0766383655,3
"oxy     ",0,1,18,31263.3333333333,10301.6839057563,3
"oxy     ",1,1,44,35120.4545454545,9108.20176124065,3
"pi      ",0,0,208,16520.2788461538,11360.4037533345,3
"pi      ",1,0,385,12038.2831168831,10053.3483487442,3
"pi      ",0,1,220,32417.7636363636,9734.92638094954,3
"pi      ",1,1,388,35043.337628866,9319.16414845043,3
"psu     ",0,0,7,8419.85714285714,8139.73751478043,3
"psu     ",1,0,37,7813.91891891892,7592.01985412745,3
"psu     ",0,1,8,39479.625,7591.72993531213,3
"psu     ",1,1,35,38082.8,8151.79526888908,3
"qccuny  ",0,0,9,5213.77777777778,3106.82851867374,3
"qccuny  ",1,0,37,5504.86486486487,6188.72527783909,3
"qccuny  ",0,1,8,39062,5963.25244428623,3
"qccuny  ",1,1,38,34056.5789473684,10883.8224297711,3
"qccuny2 ",0,0,10,7390,6795.6603799778,3
"qccuny2 ",1,0,29,7597.1724137931,7681.57448085522,3
"qccuny2 ",0,1,14,34610.8571428571,10314.5907622846,3
"qccuny2 ",1,1,24,33748.25,11529.1984873568,3
"sdsu    ",0,0,25,12558.84,10951.005953336,3
"sdsu    ",1,0,47,9756.42553191489,8903.93823649591,3
"sdsu    ",0,1,16,35484.9375,9656.96284531702,3
"sdsu    ",1,1,61,37167.5737704918,6612.04163240325,3
"swps    ",0,0,15,17994.0944,10692.2822769449,3
"swps    ",1,0,21,11094.2595428571,10424.3963136633,3
"swps    ",0,1,6,35869.5332,6761.66446247897,3
"swps    ",1,1,12,33198.962,10037.8195742552,3
"swpson  ",0,0,21,26264.2100571429,7479.71413273599,3
"swpson  ",1,0,52,23131.6589538462,8322.50394337986,3
"swpson  ",0,1,25,28164.749376,981.812641405505,3
"swpson  ",1,1,40,28919.59584,5926.62807407294,3
"tamu    ",0,0,22,12566.6818181818,9872.74154710049,3
"tamu    ",1,0,54,12945.0925925926,11622.1553131655,3
"tamu    ",0,1,35,35708.2857142857,10051.2786677687,3
"tamu    ",1,1,65,38394.7230769231,7831.3860173896,3
"tamuc   ",0,0,8,13396.75,14871.5753872951,3
"tamuc   ",1,0,35,8337.65714285714,8447.22537440848,3
"tamuc   ",0,1,5,35300,12666.885963014,3
"tamuc   ",1,1,31,39448.4516129032,6767.36640965898,3
"tamuon  ",0,0,25,16833.24,12901.2606272927,3
"tamuon  ",1,0,77,14398.4415584416,12923.6064885496,3
"tamuon  ",0,1,20,32506.35,9723.3916070853,3
"tamuon  ",1,1,81,35945.4814814815,8331.27756726288,3
"tilburg ",0,0,14,13228.4199428571,9774.98104214116,3
"tilburg ",1,0,34,11091.8058352941,8215.67794070354,3
"tilburg ",0,1,5,23949.84,13139.5937602956,3
"tilburg ",1,1,12,30579.79,12570.5010651749,3
"ufl     ",0,0,17,10162.2941176471,9372.38240633556,3
"ufl     ",1,0,43,10124.3720930233,8434.36746160006,3
"ufl     ",0,1,13,36480.3076923077,6438.91673581583,3
"ufl     ",1,1,46,35772.9347826087,10324.9172983552,3
"unipd   ",0,0,22,25047.4167272727,7918.40150221956,3
"unipd   ",1,0,34,20013.4589647059,9722.92492480825,3
"unipd   ",0,1,21,31287.1148571429,5757.47923570543,3
"unipd   ",1,1,25,29365.12848,5904.02437777154,3
"uva     ",0,0,13,14308.3846153846,8431.32930937209,3
"uva     ",1,0,28,9124.32142857143,7952.49808901707,3
"uva     ",0,1,10,31150,12631.6401679803,3
"uva     ",1,1,25,33598.88,9643.74965681572,3
"vcu     ",0,0,12,7252.08333333333,8380.94740205787,3
"vcu     ",1,0,39,5210.33333333333,3513.83633005095,3
"vcu     ",0,1,10,34381,10165.6747603557,3
"vcu     ",1,1,38,36304.5526315789,7937.94953337777,3
"wisc    ",0,0,10,9732.2,8862.468402075,3
"wisc    ",1,0,37,10177.5945945946,9574.23150225953,3
"wisc    ",0,1,6,27870.3333333333,14775.8208119436,3
"wisc    ",1,1,38,38268.8157894737,8770.12353407791,3
"wku     ",0,0,14,7490.28571428571,7732.33777395617,3
"wku     ",1,0,40,9591.25,11552.3107217916,3
"wku     ",0,1,14,33000.6428571429,8977.87354990156,3
"wku     ",1,1,30,38820,4670.99634944748,3
"wl      ",0,0,7,15462,9010.27198997529,3
"wl      ",1,0,38,10189.2894736842,7278.66485717878,3
"wl      ",0,1,6,29804.6666666667,11025.9317368949,3
"wl      ",1,1,35,34487.7142857143,9802.21406133337,3
"wpi     ",0,0,26,14128.9230769231,10494.3110566557,3
"wpi     ",1,0,23,9786.13043478261,9635.9972135942,3
"wpi     ",0,1,15,35127.2,8831.81330030411,3
"wpi     ",1,1,19,33315.2631578947,8622.23119385197,3
"abington",0,0,8,3632.5,6858.48485975063,4
"abington",1,0,19,605.263157894737,1087.9435668629,4
"abington",0,1,13,16015.0769230769,14419.1402336243,4
"abington",1,1,35,23525.5714285714,14556.5216742222,4
"brasilia",0,0,19,5055.21052631579,10872.0174228202,4
"brasilia",1,0,21,296.380952380952,270.676832438699,4
"brasilia",0,1,18,25137.2222222222,17360.5671517398,4
"brasilia",1,1,20,22829.1,17507.6119802968,4
"charles ",0,0,10,10405,10917.8358152561,4
"charles ",1,0,22,1778.22727272727,2849.63409400171,4
"charles ",0,1,12,30297,13630.1588732153,4
"charles ",1,1,29,24993.724137931,14608.1542563845,4
"conncoll",0,0,14,2762,4119.1665325739,4
"conncoll",1,0,21,1428.38095238095,1786.54612244382,4
"conncoll",0,1,12,34833.3333333333,9731.23680201904,4
"conncoll",1,1,37,23464.8648648649,12525.356863761,4
"csun    ",0,0,4,11975,16929.3384395256,4
"csun    ",1,0,36,4394.36111111111,9706.15919963866,4
"csun    ",0,1,12,33000,13368.8919782932,4
"csun    ",1,1,31,26199.9677419355,16174.0866830946,4
"help    ",0,0,16,2626,7498.99926656884,4
"help    ",1,0,28,1244.71428571429,2694.74078815457,4
"help    ",0,1,9,25255.5555555556,11426.4070371127,4
"help    ",1,1,31,27456.4516129032,14914.3149464728,4
"ithaca  ",0,0,7,1764.28571428571,1549.38543884188,4
"ithaca  ",1,0,36,2631.61111111111,6775.5051062223,4
"ithaca  ",0,1,10,22900,12224.2927539115,4
"ithaca  ",1,1,34,31147.0588235294,10885.4430261346,4
"jmu     ",0,0,15,4392.2,9152.79846510657,4
"jmu     ",1,0,62,3625.09677419355,8593.23893918301,4
"jmu     ",0,1,16,23717.0625,11608.8474045661,4
"jmu     ",1,1,65,24193.6923076923,12118.4412117997,4
"ku      ",0,0,24,2132.625,3273.92690434591,4
"ku      ",1,0,25,1928.12,4043.63028230821,4
"ku      ",0,1,15,20732.4666666667,18109.1463822909,4
"ku      ",1,1,27,28746.4814814815,13776.7102843625,4
"laurier ",0,0,22,6035.81818181818,8640.62736719397,4
"laurier ",1,0,25,1204.12,2358.64382502601,4
"laurier ",0,1,21,24859.5714285714,14496.8515153168,4
"laurier ",1,1,31,29867.7419354839,14189.0894022314,4
"lse     ",0,0,40,2998.525,4109.98465894885,4
"lse     ",1,0,85,2748.78823529412,4600.7211471322,4
"lse     ",0,1,38,22894.7105263158,13675.3128703927,4
