,**_x_**,**_N_**,**_Pr_**,**_p_**,**_x_**,**_N_**,**_Pr_**,**_p_**,**_x_**,**_N_**,**_Pr_**,**_p_**,**_x_**,**_N_**,**_Pr_**,**_p_**
All,"**2,682**","**4,900**",**0.547**,**<.001**,"**2,881**","**5,309**",**0.543**,**<.001**,"**3,308**","**6,178**",**0.535**,**<.001**,"**4,218**","**8,129**",**0.519**,**<.001**
DP,**319**,**531**,**0.601**,**<.001**,**336**,**567**,**0.593**,**<.001**,**383**,**653**,**0.587**,**<.001**,**464**,**843**,**0.55**,**0.002**
FP,96,193,0.497,0.557,105,227,0.463,0.884,141,304,0.464,0.906,215,458,0.469,0.912
JAP,**78**,**131**,**0.595**,**0.018**,**82**,**137**,**0.599**,**0.013**,85,154,0.552,0.113,101,183,0.552,0.092
JCCP,246,517,0.476,0.874,267,562,0.475,0.889,308,641,0.48,0.848,395,823,0.48,0.882
JEPG,147,285,0.516,0.318,159,310,0.513,0.346,195,375,0.52,0.235,258,509,0.507,0.395
JPSP,"**1,252**","**2,097**",**0.597**,**<.001**,**1310**,"**2,207**",**0.594**,**<.001**,"**1,408**","**2,399**",**0.587**,**<.001**,"**1,623**","**2,869**",**0.566**,**<.001**
PLOS,307,649,0.473,0.921,366,760,0.482,0.854,489,1000,0.489,0.766,744,1558,0.478,0.964
PS,237,497,0.477,0.859,256,539,0.475,0.886,299,652,0.459,0.984,418,886,0.472,0.957
