,"$x$",$N$,$Pr$,$p$,$x$,$N$,$Pr$,$p$,$x$,$N$,$Pr$,$p$,$x$,$N$,$Pr$,$p$
All,"\textbf{2,682}","\textbf{4,900}",\textbf{0.547},\textbf{<.001},"\textbf{2,881}","\textbf{5,309}",\textbf{0.543},\textbf{<.001},"\textbf{3,308}","\textbf{6,178}",\textbf{0.535},\textbf{<.001},"\textbf{4,218}","\textbf{8,129}",\textbf{0.519},\textbf{<.001}
DP,\textbf{319},\textbf{531},\textbf{0.601},\textbf{<.001},\textbf{336},\textbf{567},\textbf{0.593},\textbf{<.001},\textbf{383},\textbf{653},\textbf{0.587},\textbf{<.001},\textbf{464},\textbf{843},\textbf{0.55},\textbf{0.002}
FP,96,193,0.497,0.557,105,227,0.463,0.884,141,304,0.464,0.906,215,458,0.469,0.912
JAP,\textbf{78},\textbf{131},\textbf{0.595},\textbf{0.018},\textbf{82},\textbf{137},\textbf{0.599},\textbf{0.013},85,154,0.552,0.113,101,183,0.552,0.092
JCCP,246,517,0.476,0.874,267,562,0.475,0.889,308,641,0.48,0.848,395,823,0.48,0.882
JEPG,147,285,0.516,0.318,159,310,0.513,0.346,195,375,0.52,0.235,258,509,0.507,0.395
JPSP,"\textbf{1,252}","\textbf{2,097}",\textbf{0.597},\textbf{<.001},\textbf{1310},"\textbf{2,207}",\textbf{0.594},\textbf{<.001},"\textbf{1,408}","\textbf{2,399}",\textbf{0.587},\textbf{<.001},"\textbf{1,623}","\textbf{2,869}",\textbf{0.566},\textbf{<.001}
PLOS,307,649,0.473,0.921,366,760,0.482,0.854,489,1000,0.489,0.766,744,1558,0.478,0.964
PS,237,497,0.477,0.859,256,539,0.475,0.886,299,652,0.459,0.984,418,886,0.472,0.957
